Atomic Size Difference,V,Pauli Electronegativity Difference,VEC,Mixing Entropy,Hardness
0.027505785,12.57676133,1.832,5.2,13.38160682,4.414666667
0.027505785,12.57676133,1.832,5.2,13.38160682,4.143333333
0.027505785,12.57676133,1.832,5.2,13.38160682,3.698333333
0.027505785,12.57676133,1.832,5.2,13.38160682,4.107
0.027505785,12.57676133,1.832,5.2,13.38160682,4.208
0.027505785,12.57676133,1.832,5.2,13.38160682,4.069
0.027505785,12.57676133,1.832,5.2,13.38160682,5.174666667
0.027505785,12.57676133,1.832,5.2,13.38160682,4.889
0.027505785,12.57676133,1.832,5.2,13.38160682,4.929333333
0.027505785,12.57676133,1.832,5.2,13.38160682,4.92
0.027505785,12.57676133,1.832,5.2,13.38160682,4.859
0.027505785,12.57676133,1.832,5.2,13.38160682,4.805666667
0.027505785,12.57676133,1.832,5.2,13.38160682,5.516333333
0.027505785,12.57676133,1.832,5.2,13.38160682,4.485666667
0.027505785,12.57676133,1.832,5.2,13.38160682,4.899333333
0.027505785,12.57676133,1.832,5.2,13.38160682,4.362333333
0.027505785,12.57676133,1.832,5.2,13.38160682,5.715333333
0.027505785,12.57676133,1.832,5.2,13.38160682,5.613666667
0.027505785,12.57676133,1.832,5.2,13.38160682,4.414333333
0.028424442,12.65331524,1.783333333,5,12.97646396,3.685666667
0.028424442,12.65331524,1.783333333,5,12.97646396,3.735333333
0.027505785,12.57676133,1.832,5.2,13.38160682,4.712666667
0.027505785,12.57676133,1.832,5.2,13.38160682,4.41
0.027505785,12.57676133,1.832,5.2,13.38160682,5.29
0.027505785,12.57676133,1.832,5.2,13.38160682,4.835333333
0.027505785,12.57676133,1.832,5.2,13.38160682,5.229
0.027505785,12.57676133,1.832,5.2,13.38160682,4.698
0.027505785,12.57676133,1.832,5.2,13.38160682,5.305333333
0.027505785,12.57676133,1.832,5.2,13.38160682,5.387333333
0.027505785,12.57676133,1.832,5.2,13.38160682,3.684
0.027505785,12.57676133,1.832,5.2,13.38160682,3.257333333
0.027505785,12.57676133,1.832,5.2,13.38160682,4.296333333
0.027505785,12.57676133,1.832,5.2,13.38160682,4.006333333
0.027505785,12.57676133,1.832,5.2,13.38160682,3.884
0.027505785,12.57676133,1.832,5.2,13.38160682,4.321666667
0.027505785,12.57676133,1.832,5.2,13.38160682,3.430666667
0.027505785,12.57676133,1.832,5.2,13.38160682,3.4
0.026924359,12.52623363,1.831428571,5.285714286,12.88596636,6.244
0.029868848,12.48770454,1.837142857,5.142857143,12.88596636,5.465333333
0.026924359,12.52623363,1.831428571,5.285714286,12.88596636,6.396666667
0.027999188,12.26741247,1.925714286,5.428571429,12.26446269,6.729666667
0.027999188,12.26741247,1.925714286,5.428571429,12.26446269,7.060666667
0.026864542,12.52623363,1.845714286,5.285714286,12.88596636,5.923333333
0.029868848,12.48770454,1.837142857,5.142857143,12.88596636,6.331
