Atomic Size Difference,V,Pauli Electronegativity Difference,VEC,Mixing Entropy,Hardness
0.022848101,12.60093433,1.828,5.4,9.756304285,4.493333333
0.023434032,12.31105464,1.9176,5.56,9.756304285,7.143666667
0.023072582,12.53838698,1.8624,5.44,9.756304285,5.248
0.023068495,12.24850729,1.952,5.6,9.756304285,7.708666667
0.022548908,12.41028037,1.9776,5.56,9.756304285,7.239666667
0.022199064,12.66046978,1.84,5.4,9.756304285,3.357666667
0.02266219,12.58799985,1.8624,5.44,9.756304285,3.766
0.022407501,12.33781045,2,5.6,9.756304285,7.848333333
0.018312468,12.96328395,1.696,5.2,9.756304285,2.743666667
0.018139053,12.97320653,1.688,5.2,9.756304285,3.491333333
0.022415824,12.58799985,1.9024,5.44,9.756304285,4.572
0.022407501,12.33781045,2,5.6,9.756304285,7.848333333
0.02266219,12.58799985,1.8624,5.44,9.756304285,3.785666667
0.018916907,11.93577053,2.1,5.8,9.756304285,10.34433333
0.023275786,12.24850729,1.928,5.6,9.756304285,7.534333333
0.023592589,12.31105464,1.8976,5.56,9.756304285,6.845
0.018859516,11.93577053,2.104,5.8,9.756304285,10.26633333
0.023072582,12.53838698,1.8624,5.44,9.756304285,5.246666667
0.023318911,12.53838698,1.8224,5.44,9.756304285,4.490333333
0.018676483,11.97546083,2.132,5.8,9.756304285,11.34833333
0.018619116,11.97546083,2.136,5.8,9.756304285,11.22533333
0.022762072,12.49914011,1.92,5.5,9.923720203,8.082
0.0187698,11.95561568,2.118,5.8,9.923720203,11.113
0.0187698,11.95561568,2.118,5.8,9.923720203,10.678
0.023640177,12.42472081,1.86,5.5,9.923720203,5.368333333
0.023430568,12.42472081,1.89,5.5,9.923720203,5.890333333
0.022762072,12.49914011,1.92,5.5,9.923720203,4.929
0.023104619,12.46193046,1.905,5.5,11.52628874,7.387333333
0.023104619,12.46193046,1.905,5.5,11.52628874,7.162666667
0.023104619,12.46193046,1.905,5.5,11.52628874,6.361333333
0.022986173,12.26835243,1.956,5.6,11.07634908,9.171333333
0.022986173,12.26835243,1.956,5.6,11.07634908,8.72
0.022986173,12.26835243,1.956,5.6,11.07634908,9.269333333
0.022473821,12.63070205,1.844,5.4,11.07634908,7.119666667
0.022586845,12.63070205,1.824,5.4,11.07634908,7.491333333
0.022473821,12.63070205,1.844,5.4,11.07634908,6.806333333
0.022473821,12.63070205,1.844,5.4,11.07634908,7.387666667
0.022586845,12.63070205,1.824,5.4,11.07634908,7.556
0.022586845,12.63070205,1.824,5.4,11.07634908,8.587333333
0.022586845,12.63070205,1.824,5.4,11.07634908,7.284666667
0.022503959,12.3179653,1.996,5.6,11.07634908,9.125
0.022304778,12.1393132,1.99000182,5.666672,10.33033481,9.909
0.022304778,12.1393132,1.99000182,5.666672,10.33033481,9.447
0.022304778,12.1393132,1.99000182,5.666672,10.33033481,10.76733333
0.023404126,12.44125851,1.8800001,5.5,11.05541967,8.853666667
0.021962347,12.1806456,2.02333286,5.666666,11.05541967,10.32133333
0.023287707,12.44125851,1.8966667,5.5,11.05541967,5.700333333
0.021530815,12.74322863,1.80333534,5.333339,10.33033481,3.296333333
0.021612404,12.74321532,1.78666714,5.333334,11.05541967,4.209333333
0.022799993,12.48260241,1.9299999,5.5,11.05541967,7.465666667
0.022916409,12.48260241,1.9133333,5.5,11.05541967,8.185
0.021604439,12.22200123,2.05666842,5.666672,10.33033481,10.42133333
0.021604439,12.22200123,2.05666842,5.666672,10.33033481,10.44133333
0.021604439,12.22200123,2.05666842,5.666672,10.33033481,11.20433333
0.023404126,12.44125851,1.8800001,5.5,11.05541967,7.866333333
0.021612404,12.74321532,1.78666714,5.333334,11.05541967,4.049333333
0.021962347,12.1806456,2.02333286,5.666666,11.05541967,11.11566667
0.021612404,12.74321532,1.78666714,5.333334,11.05541967,4.185666667
0.022799993,12.48260241,1.9299999,5.5,11.05541967,6.035666667
0.022916409,12.48260241,1.9133333,5.5,11.05541967,8.985
0.021604439,12.22200123,2.05666842,5.666672,10.33033481,10.35466667
0.021612404,12.74321532,1.78666714,5.333334,11.05541967,3.626666667
0.021692968,12.74322863,1.77000204,5.333339,10.33033481,4.158666667
0.022304778,12.1393132,1.99000182,5.666672,10.33033481,9.539666667
0.023404126,12.44125851,1.8800001,5.5,11.05541967,8.718666667
0.022304778,12.1393132,1.99000182,5.666672,10.33033481,11.00633333
0.022304778,12.1393132,1.99000182,5.666672,10.33033481,9.648
0.023404126,12.44125851,1.8800001,5.5,11.05541967,9.376666667
0.021962347,12.1806456,2.02333286,5.666666,11.05541967,10.52966667
0.022304778,12.1393132,1.99000182,5.666672,10.33033481,10.05366667
0.023404126,12.44125851,1.8800001,5.5,11.05541967,8.846333333
0.021962347,12.1806456,2.02333286,5.666666,11.05541967,10.61766667
0.021962347,12.1806456,2.02333286,5.666666,11.05541967,10.364
0.021962347,12.1806456,2.02333286,5.666666,11.05541967,10.78166667
0.023287707,12.44125851,1.8966667,5.5,11.05541967,8.530333333
0.022304778,12.1393132,1.99000182,5.666672,10.33033481,9.222
0.021962347,12.1806456,2.02333286,5.666666,11.05541967,10.00433333
0.021962347,12.1806456,2.02333286,5.666666,11.05541967,11.27033333
0.021530815,12.74322863,1.80333534,5.333339,10.33033481,2.811333333
0.021490548,12.04711985,2.01428586,5.714286,9.592736062,9.428333333
0.021490548,12.04711985,2.01428586,5.714286,9.592736062,9.360666667
0.023246841,12.30592925,1.93428378,5.571423,10.61784771,7.635666667
0.023246841,12.30592925,1.93428378,5.571423,10.61784771,7.597333333
0.023362845,12.30592925,1.91999808,5.571423,10.61784771,8.355333333
0.021231937,12.08254608,2.0428551,5.71428,10.61784771,9.512333333
0.023362845,12.30592925,1.91999808,5.571423,10.61784771,7.835
0.021231937,12.08254608,2.0428551,5.71428,10.61784771,9.93
0.023362845,12.30592925,1.91999808,5.571423,10.61784771,8.245666667
0.023246841,12.30592925,1.93428378,5.571423,10.61784771,7.278333333
0.022941454,12.56475015,1.85428386,5.428566,10.61784771,6.297333333
0.022941454,12.56475015,1.85428386,5.428566,10.61784771,5.621
0.022941454,12.56475015,1.85428386,5.428566,10.61784771,6.498
0.023027712,12.56475015,1.83999816,5.428566,11.23935075,6.538
0.022888686,12.34136698,1.96285518,5.571423,11.23935075,7.736
0.021490548,12.04711985,2.01428586,5.714286,9.592736062,9.636666667
0.023027712,12.56475015,1.83999816,5.428566,11.23935075,6.457333333
0.022888686,12.34136698,1.96285518,5.571423,11.23935075,8.127
0.023113163,12.56475015,1.82571246,5.428566,10.61784771,6.589333333
0.023113163,12.56475015,1.82571246,5.428566,10.61784771,6.004
0.023027712,12.56475015,1.83999816,5.428566,11.23935075,6.514333333
0.023004643,12.34136698,1.94856948,5.571423,11.23935075,7.876666667
0.020962417,12.11798381,2.0714265,5.71428,10.61784771,9.778666667
0.023004643,12.34136698,1.94856948,5.571423,11.23935075,8.529
0.020962417,12.11798381,2.0714265,5.71428,10.61784771,9.508333333
0.023004643,12.34136698,1.94856948,5.571423,11.23935075,7.593666667
0.020962417,12.11798381,2.0714265,5.71428,10.61784771,9.602333333
0.020572075,12.82358436,1.77428554,5.285714,9.592736062,2.945666667
0.02063469,12.82357105,1.75999824,5.285709,10.61784771,3.264
0.02063469,12.82357105,1.75999824,5.285709,10.61784771,3.425
0.022461848,12.60018788,1.88285526,5.428566,10.61784771,5.761
0.022548125,12.60018788,1.86856956,5.428566,11.23935075,5.567
0.022461848,12.60018788,1.88285526,5.428566,10.61784771,6.21
0.022461848,12.60018788,1.88285526,5.428566,10.61784771,5.533666667
0.02063469,12.82357105,1.75999824,5.285709,10.61784771,4.145
0.022548125,12.60018788,1.86856956,5.428566,11.23935075,6.021666667
0.022517965,12.37680471,1.99142658,5.571423,10.61784771,8.451333333
0.023113163,12.56475015,1.82571246,5.428566,10.61784771,5.676
0.020757747,12.82358436,1.73142834,5.285714,9.592736062,5.779333333
0.020757747,12.82358436,1.73142834,5.285714,9.592736062,4.024333333
0.02263358,12.60018788,1.85428386,5.428566,10.61784771,5.46
0.02263358,12.60018788,1.85428386,5.428566,10.61784771,5.953666667
0.022548125,12.60018788,1.86856956,5.428566,11.23935075,5.687666667
0.022517965,12.37680471,1.99142658,5.571423,10.61784771,8.117
0.020681582,12.15343328,2.10000026,5.714286,9.592736062,10.08833333
0.022517965,12.37680471,1.99142658,5.571423,10.61784771,7.834666667
0.022633942,12.37680471,1.97714088,5.571423,10.61784771,8.093333333
0.022633942,12.37680471,1.97714088,5.571423,10.61784771,7.779666667
0.022633942,12.37680471,1.97714088,5.571423,10.61784771,8.314666667
0.020757747,12.82358436,1.73142834,5.285714,9.592736062,5.601
0.02263358,12.60018788,1.85428386,5.428566,10.61784771,6.153333333
0.0206771,11.97798539,2.0325,5.75,8.92592884,9.138
0.022870411,12.2044539,1.9625,5.625,10.08550264,8.444666667
